strategy_code,strategy_name
BASE,Traditional Development OLD DO NOT USE
AGRC:ALL,
AGRC:ALL_PLUR,
AGRC:DEC_EXPORTS,
AGRC:INC_CONSERVATION_AGRICULTURE,
AGRC:INC_PRODUCTIVITY,
AGRC:INC_PRODUCTIVITY_PLUR,
AGRC:DEC_CH4_RICE,
AGRC:DEC_LOSSES_SUPPLY_CHAIN,
AGRC:DEC_LOSSES_SUPPLY_CHAIN_PLUR,
FRST:DEC_DEFORESTATION,
LNDU:INC_SILVOPASTURE,
LNDU:INC_SILVOPASTURE_PLUR,
LNDU:INC_SUSTAINABLE_GRAZING,
LNDU:PLUR,Traditional Development
LNDU:INC_LAND_REHABILITIATION,
LSMM:INC_MANAGEMENT_CATTLE_PIGS,
LSMM:INC_MANAGEMENT_OTHER,
LSMM:INC_MANAGEMENT_POULTRY,
LSMM:INC_CAPTURE_BIOGAS,
LSMM:BUNDLE_INC_MANAGEMENT,
LVST:ALL,
LVST:ALL_PLUR,
LVST:DEC_EXPORTS,
LVST:INC_PRODUCTIVITY,
LVST:INC_PRODUCTIVITY_PLUR,
LVST:DEC_ENTERIC_FERMENTATION,
SOIL:DEC_N_APPLIED,
SOIL:DEC_LIME_APPLIED,
AF:ALL,
AF:ALL_PLUR,
TRWW:ALL,
TRWW:INC_CAPTURE_BIOGAS,
TRWW:INC_COMPLIANCE_SEPTIC,
WALI:ALL,
WALI:INC_TREATMENT_INDUSTRIAL,
WALI:INC_TREATMENT_RURAL,
WALI:INC_TREATMENT_URBAN,
WASO:ALL,
WASO:INC_ENERGY_FROM_BIOGAS,
WASO:DEC_CONSUMER_FOOD_WASTE,
WASO:INC_ENERGY_FROM_INCINERATION,
WASO:INC_CAPTURE_BIOGAS,
WASO:INC_ANAEROBIC_AND_COMPOST,
WASO:INC_LANDFILLING,
WASO:INC_RECYCLING,
CE:ALL,
CCSQ:INCREASE_CAPTURE,
CCSQ:INCREASE_CAPTURE_REP,
ENTC:TARGET_RENEWABLE_ELEC,
ENTC:LEAST_COST,
ENTC:DEC_LOSSES,
ENTC:DEC_LOSSES_REP,
FGTV:ALL,
FGTV:ALL_REP,
FGTV:INC_FLARE,
FGTV:INC_FLARE_REP,
FGTV:DEC_LEAKS,
FGTV:DEC_LEAKS_REP,
INEN:ALL,
INEN:ALL_REP,
INEN:FUEL_SWITCH_LO_HEAT,
INEN:FUEL_SWITCH_LO_HEAT_REP,
INEN:FUEL_SWITCH_HI_HEAT,
INEN:FUEL_SWITCH_HI_HEAT_REP,
INEN:INC_EFFICIENCY_ENERGY,
INEN:INC_EFFICIENCY_ENERGY_REP,
INEN:INC_EFFICIENCY_PRODUCTION,
INEN:INC_EFFICIENCY_PRODUCTION_REP,
SCOE:ALL,
SCOE:ALL_REP,
SCOE:INC_EFFICIENCY_APPLIANCE,
SCOE:INC_EFFICIENCY_APPLIANCE_REP,
SCOE:DEC_DEMAND_HEAT,
SCOE:DEC_DEMAND_HEAT_REP,
SCOE:FUEL_SWITCH_HEAT,
SCOE:FUEL_SWITCH_HEAT_REP,
TRNS:ALL,
TRNS:ALL_REP,
TRNS:BUNDLE_DEMAND_MANAGEMENT,
TRNS:BUNDLE_DEMAND_MANAGEMENT_REP,
TRNS:FUEL_SWITCH_LIGHT_DUTY,
TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,
TRNS:FUEL_SWITCH_RAIL,
TRNS:FUEL_SWITCH_RAIL_REP,
TRNS:BUNDLE_FUEL_SWITCH,
TRNS:BUNDLE_FUEL_SWITCH_REP,
TRNS:FUEL_SWITCH_MARITIME,
TRNS:FUEL_SWITCH_MARITIME_REP,
TRNS:FUEL_SWITCH_MEDIUM_DUTY,
TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,
TRNS:INC_OCCUPANCY,
TRNS:INC_OCCUPANCY_REP,
TRNS:INC_EFFICIENCY,
TRNS:INC_EFFICIENCY_REP,
TRNS:BUNDLE_MODE_SHIFT,
TRNS:BUNDLE_MODE_SHIFT_REP,
TRNS:MODE_SHIFT_FREIGHT,
TRNS:MODE_SHIFT_FREIGHT_REP,
TRNS:MODE_SHIFT_PASSENGER,
TRNS:MODE_SHIFT_PASSENGER_REP,
TRNS:MODE_SHIFT_REGIONAL,
TRNS:MODE_SHIFT_REGIONAL_REP,
TRDE:DEC_DEMAND,
TRDE:DEC_DEMAND_REP,
EN:BUNDLE_EFFICIENCY,
EN:BUNDLE_EFFICIENCY_REP,
EN:BUNDLE_FUEL_SWITCH,
EN:BUNDLE_FUEL_SWITCH_REP,
EN:ALL,
IPPU:DEC_DEMAND,
IPPU:DEC_CLINKER,
IPPU:BUNDLE_DEC_FGAS,
IPPU:DEC_N2O,
IPPU:DEC_OTHER_FCS,
IPPU:DEC_HFCS,
IPPU:DEC_PFCS,
IP:ALL,
PFLO:BETTER_BASE,Incremental Improvements
PFLO:BETTER_DIETS,
PFLO:BETTER_DIETS_PLUR,
PFLO:CHANGE_CONSUMPTION,Changing Consumption
PFLO:IND_INC_CCS,
PFLO:SUPPLY_SIDE_TECH,Supply-Side Solutions
PFLO:ALL,
PFLO:ALL_PLUR,All Actions
