"","region","strategy_code","variable","future_id","value"
"1","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X",0,3151670412.39989
"2","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2015",0,0
"3","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2016",0,0
"4","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2017",0,0
"5","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2018",0,0
"6","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2019",0,0
"7","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2020",0,0
"8","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2021",0,0
"9","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2022",0,0
"10","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2023",0,0
"11","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:consumer_savings:cons_ag_land_value:X_shifted2024",0,0
"12","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices",0,107639.930625468
"13","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2015",0,0
"14","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2016",0,0
"15","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2017",0,0
"16","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2018",0,0
"17","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2019",0,0
"18","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2020",0,0
"19","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2021",0,0
"20","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2022",0,0
"21","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2023",0,0
"22","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:bevs_and_spices_shifted2024",0,0
"23","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:cereals",0,239572.654903049
