,fields_input
0,area_gnrl_country_ha
1,avgload_trns_freight_tonne_per_vehicle_aviation
2,avgload_trns_freight_tonne_per_vehicle_rail_freight
3,avgload_trns_freight_tonne_per_vehicle_road_heavy_freight
4,avgload_trns_freight_tonne_per_vehicle_water_borne
5,avgmass_lvst_animal_buffalo_kg
6,avgmass_lvst_animal_cattle_dairy_kg
7,avgmass_lvst_animal_cattle_nondairy_kg
8,avgmass_lvst_animal_chickens_kg
9,avgmass_lvst_animal_goats_kg
10,avgmass_lvst_animal_horses_kg
11,avgmass_lvst_animal_mules_kg
12,avgmass_lvst_animal_pigs_kg
13,avgmass_lvst_animal_sheep_kg
14,climate_change_factor_gnrl_hydropower_availability
15,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing
16,consumpinit_inen_energy_tj_per_tonne_production_cement
17,consumpinit_inen_energy_tj_per_tonne_production_chemicals
18,consumpinit_inen_energy_tj_per_tonne_production_electronics
19,consumpinit_inen_energy_tj_per_tonne_production_glass
20,consumpinit_inen_energy_tj_per_tonne_production_lime_and_carbonite
21,consumpinit_inen_energy_tj_per_tonne_production_metals
22,consumpinit_inen_energy_tj_per_tonne_production_mining
23,consumpinit_inen_energy_tj_per_tonne_production_paper
24,consumpinit_inen_energy_tj_per_tonne_production_plastic
25,consumpinit_inen_energy_tj_per_tonne_production_recycled_glass
26,consumpinit_inen_energy_tj_per_tonne_production_recycled_metals
27,consumpinit_inen_energy_tj_per_tonne_production_recycled_paper
28,consumpinit_inen_energy_tj_per_tonne_production_recycled_plastic
29,consumpinit_inen_energy_tj_per_tonne_production_recycled_rubber_and_leather
30,consumpinit_inen_energy_tj_per_tonne_production_recycled_textiles
31,consumpinit_inen_energy_tj_per_tonne_production_recycled_wood
32,consumpinit_inen_energy_tj_per_tonne_production_rubber_and_leather
33,consumpinit_inen_energy_tj_per_tonne_production_textiles
34,consumpinit_inen_energy_tj_per_tonne_production_wood
35,consumpinit_inen_energy_total_pj_agriculture_and_livestock
36,consumpinit_scoe_gj_per_hh_residential_elec_appliances
37,consumpinit_scoe_gj_per_hh_residential_heat_energy
38,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_elec_appliances
39,consumpinit_scoe_tj_per_mmmgdp_commercial_municipal_heat_energy
40,consumpinit_scoe_tj_per_mmmgdp_other_se_elec_appliances
41,consumpinit_scoe_tj_per_mmmgdp_other_se_heat_energy
42,cost_enfu_fuel_biofuels_usd_per_m3
43,cost_enfu_fuel_biogas_usd_per_mmbtu
44,cost_enfu_fuel_biomass_usd_per_tonne
45,cost_enfu_fuel_coal_usd_per_tonne
46,cost_enfu_fuel_coke_usd_per_tonne
47,cost_enfu_fuel_crude_usd_per_m3
48,cost_enfu_fuel_diesel_usd_per_m3
49,cost_enfu_fuel_electricity_usd_per_mmbtu
50,cost_enfu_fuel_furnace_gas_usd_per_m3
51,cost_enfu_fuel_gasoline_usd_per_m3
52,cost_enfu_fuel_hydrocarbon_gas_liquids_usd_per_mmbtu
53,cost_enfu_fuel_hydrogen_usd_per_mmbtu
54,cost_enfu_fuel_kerosene_usd_per_m3
55,cost_enfu_fuel_natural_gas_usd_per_mmbtu
56,cost_enfu_fuel_nuclear_usd_per_tonne
57,cost_enfu_fuel_oil_usd_per_m3
58,cost_enfu_fuel_waste_usd_per_mmbtu
59,dem_ippu_average_materials_tonne_per_household_cement
60,dem_ippu_average_materials_tonne_per_household_wood
61,deminit_frst_wood_home_use_kg_per_hh
62,deminit_trde_freight_mt_km
63,deminit_trde_private_and_public_per_capita_passenger_km
64,deminit_trde_regional_per_capita_passenger_km
65,demscalar_ippu_cement
66,demscalar_ippu_chemicals
67,demscalar_ippu_construction_and_demolition
68,demscalar_ippu_electronics
69,demscalar_ippu_glass
70,demscalar_ippu_lime_and_carbonite
71,demscalar_ippu_metals
72,demscalar_ippu_mining
73,demscalar_ippu_other_industries
74,demscalar_ippu_other_product_manufacturing
75,demscalar_ippu_paper
76,demscalar_ippu_plastic
77,demscalar_ippu_product_use_lubricants
78,demscalar_ippu_product_use_ods_other
79,demscalar_ippu_product_use_ods_refrigeration
80,demscalar_ippu_product_use_other
81,demscalar_ippu_product_use_paraffin_wax
82,demscalar_ippu_rubber_and_leather
83,demscalar_ippu_textiles
84,demscalar_ippu_wood
85,demscalar_soil_fertilizer_n_per_area
86,demscalar_soil_liming_per_area
87,demscalar_trde_freight
88,demscalar_trde_private_and_public
89,demscalar_trde_regional
90,density_wali_kg_n_per_m3_ww_industrial
91,ef_agrc_anaerobicdom_rice_kg_ch4_ha
92,ef_agrc_biomass_bevs_and_spices_tonne_co2_ha
93,ef_agrc_biomass_burning_ch4
94,ef_agrc_biomass_burning_n2o
95,ef_agrc_biomass_fruits_tonne_co2_ha
96,ef_agrc_biomass_nuts_tonne_co2_ha
97,ef_agrc_biomass_other_woody_perennial_tonne_co2_ha
98,ef_enfu_combustion_tonne_co2_per_tj_fuel_biofuels
99,ef_enfu_combustion_tonne_co2_per_tj_fuel_biogas
100,ef_enfu_combustion_tonne_co2_per_tj_fuel_biomass
101,ef_enfu_combustion_tonne_co2_per_tj_fuel_coal
102,ef_enfu_combustion_tonne_co2_per_tj_fuel_coal_deposits
103,ef_enfu_combustion_tonne_co2_per_tj_fuel_coke
104,ef_enfu_combustion_tonne_co2_per_tj_fuel_crude
105,ef_enfu_combustion_tonne_co2_per_tj_fuel_diesel
106,ef_enfu_combustion_tonne_co2_per_tj_fuel_electricity
107,ef_enfu_combustion_tonne_co2_per_tj_fuel_furnace_gas
108,ef_enfu_combustion_tonne_co2_per_tj_fuel_gasoline
109,ef_enfu_combustion_tonne_co2_per_tj_fuel_geothermal
110,ef_enfu_combustion_tonne_co2_per_tj_fuel_hydrocarbon_gas_liquids
111,ef_enfu_combustion_tonne_co2_per_tj_fuel_hydrogen
112,ef_enfu_combustion_tonne_co2_per_tj_fuel_hydropower
113,ef_enfu_combustion_tonne_co2_per_tj_fuel_kerosene
114,ef_enfu_combustion_tonne_co2_per_tj_fuel_natural_gas
115,ef_enfu_combustion_tonne_co2_per_tj_fuel_natural_gas_unprocessed
116,ef_enfu_combustion_tonne_co2_per_tj_fuel_nuclear
117,ef_enfu_combustion_tonne_co2_per_tj_fuel_ocean
118,ef_enfu_combustion_tonne_co2_per_tj_fuel_oil
119,ef_enfu_combustion_tonne_co2_per_tj_fuel_other
120,ef_enfu_combustion_tonne_co2_per_tj_fuel_solar
121,ef_enfu_combustion_tonne_co2_per_tj_fuel_waste
122,ef_enfu_combustion_tonne_co2_per_tj_fuel_wind
123,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biofuels
124,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biogas
125,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_biomass
126,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal
127,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coal_deposits
128,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_coke
129,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_crude
130,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_diesel
131,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_electricity
132,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_furnace_gas
133,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_gasoline
134,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_geothermal
135,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrocarbon_gas_liquids
136,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydrogen
137,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_hydropower
138,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_kerosene
139,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas
140,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_natural_gas_unprocessed
141,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_nuclear
142,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_ocean
143,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_oil
144,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_other
145,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_solar
146,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_waste
147,ef_enfu_stationary_combustion_tonne_ch4_per_tj_fuel_wind
148,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biofuels
149,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biogas
150,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_biomass
151,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal
152,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coal_deposits
153,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_coke
154,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_crude
155,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_diesel
156,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_electricity
157,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_furnace_gas
158,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_gasoline
159,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_geothermal
160,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrocarbon_gas_liquids
161,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydrogen
162,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_hydropower
163,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_kerosene
164,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas
165,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_natural_gas_unprocessed
166,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_nuclear
167,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_ocean
168,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil
169,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_other
170,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_solar
171,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_waste
172,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_wind
173,ef_fgtv_distribution_tonne_ch4_per_m3_fuel_natural_gas
174,ef_fgtv_distribution_tonne_co2_per_m3_fuel_natural_gas
175,ef_fgtv_distribution_tonne_nmvoc_per_m3_fuel_natural_gas
176,ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_coal
177,ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_natural_gas
178,ef_fgtv_production_flaring_tonne_ch4_per_m3_fuel_oil
179,ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_coal
180,ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_natural_gas
181,ef_fgtv_production_flaring_tonne_co2_per_m3_fuel_oil
182,ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_natural_gas
183,ef_fgtv_production_flaring_tonne_n2o_per_m3_fuel_oil
184,ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_natural_gas
185,ef_fgtv_production_flaring_tonne_nmvoc_per_m3_fuel_oil
186,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_coal
187,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_natural_gas
188,ef_fgtv_production_fugitive_tonne_ch4_per_m3_fuel_oil
189,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_coal
190,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_natural_gas
191,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_oil
192,ef_fgtv_production_fugitive_tonne_n2o_per_m3_fuel_oil
